variant,dataset,n_runs,ari_mean,nmi_mean,acc_mean,rank_ari_mean,wins_vs_pca,ties_vs_pca,losses_vs_pca,delta_ari_vs_pca_mean,regret_vs_pca_mean,oracle_gap_mean,negative_transfer_rate,graph_activation_rate
rdg_cell_only,Limb_Muscle,3,0.5608794390196296,0.699407550370034,0.7589323782723629,9.0,2,0,1,0.06917388648354883,0.11607316888459222,0.34824632989562304,0.3333333333333333,1.0
rdg_cell_only,Pollen,3,0.43341350154192687,0.6656728041168313,0.6146179401993356,6.666666666666667,3,0,0,0.3835363052529428,0.0,0.36793924529840183,0.0,1.0
rdg_cell_only,Wang,3,0.0062530450806438575,0.003403434434701301,0.7807542809118605,8.333333333333334,0,0,3,-0.8627266857248937,0.8627266857248937,0.962402854125779,1.0,1.0
rdg_cell_only,worm_neuron_cell,3,0.014392574317651263,0.1617810665178896,0.2971810797897754,10.0,0,0,3,-0.12572453053843147,0.12572453053843147,0.201753034469808,1.0,1.0
rdg_concat_kmeans,Limb_Muscle,3,0.7377633733186478,0.8043508623610119,0.8385776413404963,6.333333333333333,3,0,0,0.24605782078256708,0.0,0.17136239559660474,0.0,0.0
rdg_concat_kmeans,Pollen,3,0.38618324585145275,0.6023249667031126,0.5946843853820598,8.0,3,0,0,0.33630604956246873,0.0,0.41516950098887584,0.0,0.0
rdg_concat_kmeans,Wang,3,0.9680515090188239,0.9211265960763884,0.9927513394264104,1.6666666666666667,3,0,0,0.09907177821328621,0.0,0.0006043901875989466,0.0,0.0
rdg_concat_kmeans,worm_neuron_cell,3,0.1388230873178399,0.4097018583293835,0.43478260869565216,6.666666666666667,1,0,2,-0.0012940175382428105,0.013525031578358798,0.07732252146961936,0.6666666666666666,0.0
rdg_gene_only,Limb_Muscle,3,0.9091257689152527,0.9078600352544121,0.9629913873966061,1.0,3,0,0,0.4174202163791718,0.0,0.0,0.0,1.0
rdg_gene_only,Pollen,3,0.7417164765294202,0.8633982746928317,0.7619047619047619,3.8333333333333335,3,0,0,0.6918392802404361,0.0,0.05963627031090849,0.0,1.0
rdg_gene_only,Wang,3,0.9677184396971801,0.9207151277371649,0.9926813040585496,2.6666666666666665,3,0,0,0.09873870889164245,0.0,0.0009374595092426959,0.0,1.0
rdg_gene_only,worm_neuron_cell,3,0.21614560878745928,0.5222387744959311,0.5689600254817646,1.0,3,0,0,0.07602850393137654,0.0,0.0,0.0,1.0
safe_rdg_calibrated_logistic_explore,Limb_Muscle,3,0.8299949522333806,0.8723965812117601,0.9256416815894942,3.8333333333333335,3,0,0,0.3382893996972997,0.0,0.0791308166818721,0.0,1.0
safe_rdg_calibrated_logistic_explore,Pollen,3,0.8006096833489069,0.8773433610885726,0.8084163898117387,2.6666666666666665,3,0,0,0.7507324870599228,0.0,0.0007430634914217619,0.0,1.0
safe_rdg_calibrated_logistic_explore,Wang,3,0.8689797308055377,0.7817542365951061,0.9685541198305144,4.833333333333333,0,3,0,0.0,0.0,0.09967616840088515,0.0,0.0
safe_rdg_calibrated_logistic_explore,worm_neuron_cell,3,0.18939815965501317,0.49146085872702105,0.5445134575569358,4.333333333333333,3,0,0,0.04928105479893044,0.0,0.026747449132446106,0.0,1.0
safe_rdg_calibrated_threshold,Limb_Muscle,3,0.8299949522333806,0.8723965812117601,0.9256416815894942,3.8333333333333335,3,0,0,0.3382893996972997,0.0,0.0791308166818721,0.0,1.0
safe_rdg_calibrated_threshold,Pollen,3,0.8006096833489069,0.8773433610885726,0.8084163898117387,2.6666666666666665,3,0,0,0.7507324870599228,0.0,0.0007430634914217619,0.0,1.0
safe_rdg_calibrated_threshold,Wang,3,0.6374375722593533,0.6177310424835175,0.9156774170956332,5.333333333333333,2,0,1,-0.23154215854618432,0.31418758499308,0.3312183269470695,0.3333333333333333,1.0
safe_rdg_calibrated_threshold,worm_neuron_cell,3,0.18939815965501317,0.49146085872702105,0.5445134575569358,4.333333333333333,3,0,0,0.04928105479893044,0.0,0.026747449132446106,0.0,1.0
safe_rdg_heuristic,Limb_Muscle,3,0.8374009454110544,0.8690886019529692,0.94107614905773,3.6666666666666665,3,0,0,0.34569539287497353,0.0,0.07172482350419829,0.0,1.0
safe_rdg_heuristic,Pollen,3,0.8008543362907755,0.8766871354144289,0.8084163898117387,3.1666666666666665,3,0,0,0.7509771400017916,0.0,0.0004984105495530189,0.0,1.0
safe_rdg_heuristic,Wang,3,-0.02109258225559191,0.0130179551113904,0.7643309871485101,11.333333333333334,0,0,3,-0.8900723130611295,0.8900723130611295,0.9897484814620147,1.0,1.0
safe_rdg_heuristic,worm_neuron_cell,3,0.20300233453222938,0.5072129519020733,0.560121038381908,2.0,3,0,0,0.06288522967614665,0.0,0.013143274255229894,0.0,1.0
