dataset,variant,method_name,cluster_method,count_success,acc_mean,acc_std,nmi_mean,nmi_std,ari_mean,ari_std,f1_macro_mean,f1_macro_std,fmi_mean,fmi_std,v_measure_mean,v_measure_std,homogeneity_mean,homogeneity_std,completeness_mean,completeness_std
Tosches,apa_v2_A_random_student,apa_v2_A_random_student,kmeans_known_k,3,0.4420988712673239,0.06636318971252529,0.4119024222835226,0.021944316445511678,0.4575254251319794,0.1390591426675178,0.22175459039096784,0.024444341110154883,0.5537995507044912,0.12482278892243397,0.4119024222835226,0.021944316445511737,0.42261500586168865,0.0332037058446855,0.4026597770535398,0.021472243269284964
Tosches,apa_v2_A_random_student,apa_v2_A_random_student,leiden_fixed,3,0.39918202600371483,0.03412076239091883,0.38465913958626247,0.0393971052965056,0.08701773749956604,0.017177666784319798,0.23614901486872614,0.02623445788033855,,,,,,,,
Tosches,apa_v2_B_vicreg,apa_v2_B_vicreg,kmeans_known_k,3,0.3795363623374768,0.08809392444336064,0.37123345958650505,0.09204058242832273,0.30544518095429435,0.17052484436052207,0.18407144485318275,0.03417335308353568,0.44506002671053635,0.1531896980262517,0.37123345958650505,0.09204058242832276,0.366354785042385,0.09600773666598673,0.37763364120564763,0.09363506867980559
Tosches,apa_v2_B_vicreg,apa_v2_B_vicreg,leiden_fixed,3,0.420435062151736,0.048339736133744586,0.3840075004440724,0.04680627242471036,0.09756556761499827,0.01840073402794867,0.25044439394595835,0.03576977606715802,,,,,,,,
Tosches,apa_v2_C_ema_teacher,apa_v2_C_ema_teacher,kmeans_known_k,3,0.39909272753250463,0.01614867983311169,0.4503787685079172,0.0034270542131701184,0.3337639313132495,0.05872851687549645,0.23978641052711214,0.036635256837714784,0.43532326072301664,0.052776374432724725,0.45037876850791714,0.0034270542131701305,0.4821401833131955,0.010783642824082037,0.42273213772035056,0.007887786585617791
Tosches,apa_v2_C_ema_teacher,apa_v2_C_ema_teacher,leiden_fixed,3,0.46960280040005714,0.005256851661611134,0.43860610606060857,0.004612664578293827,0.12123371236873853,0.003021218220971013,0.29343131013608653,0.004227144371789373,,,,,,,,
Tosches,apa_v2_D_proto,apa_v2_D_proto,kmeans_known_k,3,0.43859837119588513,0.025747634330202676,0.4322303646251582,0.022061059423935957,0.34469231652871446,0.034358586105612286,0.23674536257801176,0.026680449188147104,0.44668270224170964,0.031525387570927675,0.4322303646251581,0.02206105942393602,0.45596552609537216,0.029698033492792812,0.4110113361959998,0.017332174817613368
Tosches,apa_v2_D_proto,apa_v2_D_proto,leiden_fixed,3,0.4791220174310616,0.020018032535003453,0.4222274770334996,0.018024180817084068,0.12691275422872253,0.002654996374176478,0.2949403896252417,0.05093566214023038,,,,,,,,
Tosches,apa_v2_E_full_generator,apa_v2_E_full_generator,kmeans_known_k,3,0.41189812830404343,0.047489518055125655,0.4707614891228351,0.027228144927619824,0.39386699210857784,0.05835232770662926,0.24986336873377854,0.04591461812443272,0.48910176343038586,0.05226947786984074,0.47076148912283505,0.027228144927619824,0.5062883147752373,0.029784340433972312,0.4398972965940055,0.025107534142024077
Tosches,apa_v2_E_full_generator,apa_v2_E_full_generator,leiden_fixed,3,0.45970852978997,0.007632527924639673,0.4079081501062721,0.015244839146915936,0.12205155805572379,0.009925089796033269,0.27775993740487614,0.012187243480374444,,,,,,,,
