source_root,dataset_group,dataset,method,variant,seed,epochs,mix_mode,gate_mode,acc,nmi,ari,f1_macro,fmi,delta_ari_vs_none,delta_ari_vs_fixed,path
rg_phase1_seeds2024_3407_e80,negative,Tosches,rg_random,rg_nm_v1_random,3407,80,random,constant,0.6233390484354908,0.736053280663611,0.5184673841224937,0.6676700906891039,0.5982808074579126,-0.002620578703456111,-0.004046138663038046,results/formal/rg_phase1_seeds2024_3407_e80/Tosches/rg_random/seed3407
rg_phase1_seeds2024_3407_e80,negative,Tosches,rg_reliability,rg_nm_v1_reliability,2024,80,reliability,topology,0.6303579082726104,0.7390980252861187,0.5275416350766454,0.6640882908558652,0.606550971991323,0.004013301215646026,0.0039734770866520774,results/formal/rg_phase1_seeds2024_3407_e80/Tosches/rg_reliability/seed2024
rg_phase1_seeds2024_3407_e80,negative,Tosches,rg_reliability,rg_nm_v1_reliability,3407,80,reliability,topology,0.6277861123017574,0.7374713058211313,0.5250948995613949,0.6688885583231328,0.6045169201012073,0.004006936735445055,0.00258137677586312,results/formal/rg_phase1_seeds2024_3407_e80/Tosches/rg_reliability/seed3407
rg_phase1_seeds2024_3407_e80,neutral,Wang,rg_far,rg_nm_v1_far,2024,80,far,constant,0.9479987393633785,0.6914009979613769,0.7884089416229884,0.929438666536423,0.9227452667842486,-0.15033205834395813,-0.14988638237588403,results/formal/rg_phase1_seeds2024_3407_e80/Wang/rg_far/seed2024
rg_phase1_seeds2024_3407_e80,neutral,Wang,rg_far,rg_nm_v1_far,3407,80,far,constant,0.9307700388696292,0.6503300834725714,0.7269579436163842,0.9087512601571704,0.8978887283773092,-0.22134555951092183,-0.21177331062002225,results/formal/rg_phase1_seeds2024_3407_e80/Wang/rg_far/seed3407
rg_phase1_seeds2024_3407_e80,neutral,Wang,rg_fixed,rg_nm_v1_fixed,2024,80,fixed,constant,0.9858178380081941,0.868187253255384,0.9382953239988724,0.9795634122795097,0.978604977741683,-0.0004456759680740996,0.0,results/formal/rg_phase1_seeds2024_3407_e80/Wang/rg_fixed/seed2024
rg_phase1_seeds2024_3407_e80,neutral,Wang,rg_fixed,rg_nm_v1_fixed,3407,80,fixed,constant,0.9859228910599853,0.8686654124193078,0.9387312542364065,0.9797045935496189,0.9787654176286142,-0.009572248890899582,0.0,results/formal/rg_phase1_seeds2024_3407_e80/Wang/rg_fixed/seed3407
rg_phase1_seeds2024_3407_e80,neutral,Wang,rg_mutual,rg_nm_v1_mutual,2024,80,mutual,topology,0.9871835276814791,0.8773962061121227,0.9440931736240323,0.9814847965001339,0.9806588239639009,0.005352173657085846,0.005797849625159945,results/formal/rg_phase1_seeds2024_3407_e80/Wang/rg_mutual/seed2024
rg_phase1_seeds2024_3407_e80,neutral,Wang,rg_mutual,rg_nm_v1_mutual,3407,80,mutual,topology,0.9867633154743145,0.8740398777491565,0.9422847409106565,0.9808777406476793,0.9800328423600076,-0.0060187622166495425,0.0035534866742500393,results/formal/rg_phase1_seeds2024_3407_e80/Wang/rg_mutual/seed3407
rg_phase1_seeds2024_3407_e80,neutral,Wang,rg_none,rg_nm_v1_none,2024,80,none,none,0.9859228910599853,0.8688984111855032,0.9387409999669465,0.9797113959086925,0.9787626820516815,0.0,0.0004456759680740996,results/formal/rg_phase1_seeds2024_3407_e80/Wang/rg_none/seed2024
rg_phase1_seeds2024_3407_e80,neutral,Wang,rg_none,rg_nm_v1_none,3407,80,none,none,0.9881290051475995,0.8900482289859163,0.948303503127306,0.9829451492176365,0.9820346289856217,0.0,0.009572248890899582,results/formal/rg_phase1_seeds2024_3407_e80/Wang/rg_none/seed3407
rg_phase1_seeds2024_3407_e80,neutral,Wang,rg_random,rg_nm_v1_random,2024,80,random,constant,0.9909654375459607,0.9058361000393648,0.9603177507241817,0.9868639400766372,0.9863532505229065,0.021576750757235197,0.022022426725309296,results/formal/rg_phase1_seeds2024_3407_e80/Wang/rg_random/seed2024
rg_phase1_seeds2024_3407_e80,neutral,Wang,rg_random,rg_nm_v1_random,3407,80,random,constant,0.9892845887173022,0.8934196252491198,0.953113619648492,0.9844886962502999,0.9838097286872508,0.004810116521185903,0.014382365412085485,results/formal/rg_phase1_seeds2024_3407_e80/Wang/rg_random/seed3407
rg_phase1_seeds2024_3407_e80,neutral,Wang,rg_reliability,rg_nm_v1_reliability,2024,80,reliability,topology,0.9873936337850615,0.8788840198964778,0.9449891679381894,0.9817821877680568,0.9809745877338666,0.006248167971242946,0.006693843939317046,results/formal/rg_phase1_seeds2024_3407_e80/Wang/rg_reliability/seed2024
rg_phase1_seeds2024_3407_e80,neutral,Wang,rg_reliability,rg_nm_v1_reliability,3407,80,reliability,topology,0.9867633154743145,0.8740398777491565,0.9422847409106565,0.9808777406476793,0.9800328423600076,-0.0060187622166495425,0.0035534866742500393,results/formal/rg_phase1_seeds2024_3407_e80/Wang/rg_reliability/seed3407
rg_phase1_seeds2024_3407_e80,negative,worm_neuron_cell,rg_far,rg_nm_v1_far,2024,80,far,constant,0.688246536072623,0.6575989519193515,0.39983524084245087,0.6276418116119507,0.5415957744833563,-0.02187942046892516,-0.08668303457251886,results/formal/rg_phase1_seeds2024_3407_e80/worm_neuron_cell/rg_far/seed2024
