dataset,seed,method,effective_neighbor_count,edge_keep_rate,pseudo_branch_activation_rate,perturbation_norm_mean,perturbation_norm_p95,neighbor_similarity_mean,neighbor_similarity_std,mutual_ratio,snn_mean,snn_std,consensus_mean,consensus_std,fallback_rate,hubness_p95,hubness_max,same_label_edge_ratio,same_label_edge_ratio_weighted,minority_class_neighbor_purity,run_dir
Shekhar,2,neighbormix_scmae,3.9931082260312274,1.0,1.0,2.9105650300016768,5.12410403982951,0.8721168041229248,0.0630894154310226,0.2189340290719344,0.0812448486685752,0.1126705706119537,1.0,0.0,0.0,18.0,106.0,0.9728960119269474,0.973282754421234,0.9436135530471802,results/experiments/neighbormix_stochastic_regularization_20260616/Shekhar/neighbormix_scmae/seed2
Shekhar,0,nm_scmae_nomix,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,results/experiments/neighbormix_stochastic_regularization_20260616/Shekhar/nm_scmae_nomix/seed0
Shekhar,1,nm_scmae_nomix,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,results/experiments/neighbormix_stochastic_regularization_20260616/Shekhar/nm_scmae_nomix/seed1
Shekhar,2,nm_scmae_nomix,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,results/experiments/neighbormix_stochastic_regularization_20260616/Shekhar/nm_scmae_nomix/seed2
Shekhar,0,random_beta_uniform_0.1,3.99311451903104,1.0,1.0,1.4550311876747473,3.454128914211805,0.8721168041229248,0.0630894154310226,0.2189340290719344,0.0812448486685752,0.1126705706119537,1.0,0.0,0.0,18.0,106.0,0.9728960119269474,0.973282754421234,0.9436135530471802,results/experiments/neighbormix_stochastic_regularization_20260616/Shekhar/random_beta_uniform_0.1/seed0
Shekhar,1,random_beta_uniform_0.1,3.9931054549772327,1.0,1.0,1.4550594958691645,3.452033258229494,0.8721168041229248,0.0630894154310226,0.2189340290719344,0.0812448486685752,0.1126705706119537,1.0,0.0,0.0,18.0,106.0,0.9728960119269474,0.973282754421234,0.9436135530471802,results/experiments/neighbormix_stochastic_regularization_20260616/Shekhar/random_beta_uniform_0.1/seed1
Shekhar,2,random_beta_uniform_0.1,3.9931263389685823,1.0,1.0,1.45371097433739,3.447039144457533,0.8721168041229248,0.0630894154310226,0.2189340290719344,0.0812448486685752,0.1126705706119537,1.0,0.0,0.0,18.0,106.0,0.9728960119269474,0.973282754421234,0.9436135530471802,results/experiments/neighbormix_stochastic_regularization_20260616/Shekhar/random_beta_uniform_0.1/seed2
Shekhar,0,random_edge_dropout_keep0.5,3.996053746415401,0.5062401404747596,1.0,3.116920280084014,5.523465379614096,0.8721168041229248,0.0630894154310226,0.2189340290719344,0.0812448486685752,0.1126705706119537,1.0,0.0,0.0,18.0,106.0,0.9728960119269474,0.973282754421234,0.9436135530471802,results/experiments/neighbormix_stochastic_regularization_20260616/Shekhar/random_edge_dropout_keep0.5/seed0
Shekhar,1,random_edge_dropout_keep0.5,3.996054313586258,0.5063923527644231,1.0,3.11693564942823,5.520560767043095,0.8721168041229248,0.0630894154310226,0.2189340290719344,0.0812448486685752,0.1126705706119537,1.0,0.0,0.0,18.0,106.0,0.9728960119269474,0.973282754421234,0.9436135530471802,results/experiments/neighbormix_stochastic_regularization_20260616/Shekhar/random_edge_dropout_keep0.5/seed1
Shekhar,2,random_edge_dropout_keep0.5,3.996052929460366,0.5064488807091346,1.0,3.1164516451553657,5.523188207069268,0.8721168041229248,0.0630894154310226,0.2189340290719344,0.0812448486685752,0.1126705706119537,1.0,0.0,0.0,18.0,106.0,0.9728960119269474,0.973282754421234,0.9436135530471802,results/experiments/neighbormix_stochastic_regularization_20260616/Shekhar/random_edge_dropout_keep0.5/seed2
Shekhar,0,random_pseudo_gate_p0.5,3.99311451903104,1.0,0.500134746844952,2.910622415319085,5.125205516643248,0.8721168041229248,0.0630894154310226,0.2189340290719344,0.0812448486685752,0.1126705706119537,1.0,0.0,0.0,18.0,106.0,0.9728960119269474,0.973282754421234,0.9436135530471802,results/experiments/neighbormix_stochastic_regularization_20260616/Shekhar/random_pseudo_gate_p0.5/seed0
Shekhar,1,random_pseudo_gate_p0.5,3.9931054549772327,1.0,0.5001596304086539,2.9104834583802863,5.124320839173519,0.8721168041229248,0.0630894154310226,0.2189340290719344,0.0812448486685752,0.1126705706119537,1.0,0.0,0.0,18.0,106.0,0.9728960119269474,0.973282754421234,0.9436135530471802,results/experiments/neighbormix_stochastic_regularization_20260616/Shekhar/random_pseudo_gate_p0.5/seed1
Shekhar,2,random_pseudo_gate_p0.5,3.9931263389685823,1.0,0.500409405048077,2.9105563535426677,5.123548197975525,0.8721168041229248,0.0630894154310226,0.2189340290719344,0.0812448486685752,0.1126705706119537,1.0,0.0,0.0,18.0,106.0,0.9728960119269474,0.973282754421234,0.9436135530471802,results/experiments/neighbormix_stochastic_regularization_20260616/Shekhar/random_pseudo_gate_p0.5/seed2
Shekhar,0,snn_neighbormix,3.931729288273118,1.0,1.0,3.125312154740095,5.544361192962298,0.8721168041229248,0.0630894154310226,0.2189340290719344,0.0812448486685752,0.1126705706119537,0.0812448486685752,0.1126705706119537,0.1337681699590011,18.0,106.0,0.9728960119269474,0.9745763540267944,0.947367537021637,results/experiments/neighbormix_stochastic_regularization_20260616/Shekhar/snn_neighbormix/seed0
Shekhar,1,snn_neighbormix,3.9316638997170985,1.0,1.0,3.125391064870816,5.544588460372045,0.8721168041229248,0.0630894154310226,0.2189340290719344,0.0812448486685752,0.1126705706119537,0.0812448486685752,0.1126705706119537,0.1337681699590011,18.0,106.0,0.9728960119269474,0.9745763540267944,0.947367537021637,results/experiments/neighbormix_stochastic_regularization_20260616/Shekhar/snn_neighbormix/seed1
Shekhar,2,snn_neighbormix,3.931755713413591,1.0,1.0,3.125406812188717,5.544465307547496,0.8721168041229248,0.0630894154310226,0.2189340290719344,0.0812448486685752,0.1126705706119537,0.0812448486685752,0.1126705706119537,0.1337681699590011,18.0,106.0,0.9728960119269474,0.9745763540267944,0.947367537021637,results/experiments/neighbormix_stochastic_regularization_20260616/Shekhar/snn_neighbormix/seed2
Tosches,0,consensus_neighbormix_threshold0.4,3.8908725953395846,1.0,1.0,2.584104410600331,5.300072613275714,0.927992045879364,0.0461814552545547,0.3259537076725246,0.1044452041387558,0.1192767694592475,0.5227324962615967,0.1917639672756195,0.1255679382768967,16.0,64.0,0.8929382768966996,0.8936854004859924,0.8120582550764084,results/experiments/neighbormix_stochastic_regularization_20260616/Tosches/consensus_neighbormix_threshold0.4/seed0
