stage,method,dataset,seed,acc,nmi,ari,f1_macro,baseline_nmi,baseline_ari,meets_baseline_any,collapse_warning,embedding_variance,neighbor_purity_proxy,mixed_cell_fraction,run_dir
screen,rank19_data2vec_latent_teacher_full,Macosko,42,0.3533967148723442,0.5246963208058155,0.18771941163464867,0.3167771358999604,0.657465,0.494268,False,False,1.0281462669372559,0.9685033922513837,0.0,/home/luolie/biopipeline/dimension-reduction/plantnet/methods/DeepLearning/scMAEs/runs/scMAEs_independent_screen/rank19_data2vec_latent_teacher_full/Macosko/seed42
smoke,rank20_multimae_multitask_gene_full,Melanoma_5K,42,0.6253046753822291,0.6085693703936002,0.48461522560405385,0.4992615699441825,0.735414,0.668029,False,False,0.017863480374217033,0.8004210059827166,0.0,/home/luolie/biopipeline/dimension-reduction/plantnet/methods/DeepLearning/scMAEs/runs/scMAEs_independent_smoke/rank20_multimae_multitask_gene_full/Melanoma_5K/seed42
screen,rank20_multimae_multitask_gene_full,Melanoma_5K,42,0.6775980500775537,0.686721155096237,0.594785445320982,0.5057769317216944,0.735414,0.668029,False,False,0.11507570743560791,0.8848659428318192,0.0,/home/luolie/biopipeline/dimension-reduction/plantnet/methods/DeepLearning/scMAEs/runs/scMAEs_independent_screen/rank20_multimae_multitask_gene_full/Melanoma_5K/seed42
screen,rank20_multimae_multitask_gene_full,Quake_10x_Spleen,42,0.6946189279731994,0.6469539252192261,0.48791889051145626,0.6392646737956345,0.85173,0.922275,False,False,0.2990058958530426,0.9909757118927973,0.0,/home/luolie/biopipeline/dimension-reduction/plantnet/methods/DeepLearning/scMAEs/runs/scMAEs_independent_screen/rank20_multimae_multitask_gene_full/Quake_10x_Spleen/seed42
screen,rank20_multimae_multitask_gene_full,Macosko,42,0.41994733083377966,0.5553241641613493,0.2851860793475209,0.36979925694494625,0.657465,0.494268,False,False,0.35720252990722656,0.9609578646670237,0.0,/home/luolie/biopipeline/dimension-reduction/plantnet/methods/DeepLearning/scMAEs/runs/scMAEs_independent_screen/rank20_multimae_multitask_gene_full/Macosko/seed42
smoke,rank21_audiomae_module_patch_full,Melanoma_5K,42,0.26944382893862173,0.1495199944352266,0.08307165084960279,0.2136235009961517,0.735414,0.668029,False,False,0.0038867744151502848,0.5312430755594948,0.0,/home/luolie/biopipeline/dimension-reduction/plantnet/methods/DeepLearning/scMAEs/runs/scMAEs_independent_smoke/rank21_audiomae_module_patch_full/Melanoma_5K/seed42
screen,rank21_audiomae_module_patch_full,Melanoma_5K,42,0.6341679592288944,0.6166709051093304,0.5126935000393715,0.48639864312999326,0.735414,0.668029,False,False,0.052695244550704956,0.77994682029692,0.0,/home/luolie/biopipeline/dimension-reduction/plantnet/methods/DeepLearning/scMAEs/runs/scMAEs_independent_screen/rank21_audiomae_module_patch_full/Melanoma_5K/seed42
screen,rank21_audiomae_module_patch_full,Quake_10x_Spleen,42,0.7696817420435511,0.6409930046056862,0.5809151323433339,0.6139189543839402,0.85173,0.922275,False,False,0.08749258518218994,0.9752931323283082,0.0,/home/luolie/biopipeline/dimension-reduction/plantnet/methods/DeepLearning/scMAEs/runs/scMAEs_independent_screen/rank21_audiomae_module_patch_full/Quake_10x_Spleen/seed42
screen,rank21_audiomae_module_patch_full,Macosko,42,0.40001785395465095,0.3925023420151922,0.24761835636590154,0.2564804644964265,0.657465,0.494268,False,False,0.12364929169416428,0.8440925727548652,0.0,/home/luolie/biopipeline/dimension-reduction/plantnet/methods/DeepLearning/scMAEs/runs/scMAEs_independent_screen/rank21_audiomae_module_patch_full/Macosko/seed42
smoke,rank22_ijepa_context_target_full,Melanoma_5K,42,0.20363394637713272,0.06327632147027083,0.03531980134941057,0.15808028156027615,0.735414,0.668029,False,False,0.06599502265453339,0.4697983602924884,0.0,/home/luolie/biopipeline/dimension-reduction/plantnet/methods/DeepLearning/scMAEs/runs/scMAEs_independent_smoke/rank22_ijepa_context_target_full/Melanoma_5K/seed42
