dataset,method,seed,variant,mix_mode,pseudo_objective,g_max,pseudo_weight,known_k_interpretation,acc,nmi,ari,f1_macro,fmi,v_measure,homogeneity,completeness,n_pred_clusters,silhouette,protocol,cluster_method,uses_known_k,stage,run_dir,macro_f1,rare_cell_recall,gate_mean,gate_std,fraction_gate_lt_0.05_gmax,fraction_gate_gt_0.95_gmax,corr_gate_R,corr_gate_H,valid_edge_count_mean,no_valid_neighbor_rate,fallback_rate,effective_neighbor_count_mean,max_edge_weight_p95,KS_distance_perturb_norm,median_library_size_relative_diff,zero_fraction_absolute_diff,clip_rate_eta,passes_matching_thresholds,median_TV_ratio_all_genes,median_TV_ratio_high_TV_genes,high_TV_compression_rate,fixed_ari,fixed_macro_f1,fixed_rare_cell_recall,delta_ari_vs_fixed_control,delta_macro_f1_vs_fixed_control,delta_rare_recall_vs_fixed_control
Macosko,RC_NeighborMix,42,stage1B_fixed_control_rec_only,fixed_control,rec_only,0.1,0.3,oracle-k embedding separability only,0.4269326905909659,0.5514965407988267,0.2964084488333466,0.3742572927758449,0.5301881079950189,0.5514965407988267,0.7777122399148539,0.4272274865305406,12,,fixed,kmeans_known_k,True,stage1B,results/rc_nm_checkpoint_v4_1/stage1B/Macosko/seed42/fixed_control_rec_only,0.3742572927758449,,0.10000001639127731,1.4901161193847656e-08,0.0,1.0,0.0,0.0,6.380891805034815,0.0,0.06588109266202463,3.4525322914123535,0.847923994064331,,,,,,0.798274208989566,0.7984222191826376,0.652,0.2964084488333466,0.3742572927758449,,0.0,0.0,
Macosko,RC_NeighborMix,42,stage1B_edge_only_rec_only,edge_only,rec_only,0.1,0.3,oracle-k embedding separability only,0.4571281913943938,0.5745125907791707,0.3041255389927461,0.4726943007580822,0.5371635590628583,0.5745125907791707,0.8035011351304563,0.4470955284216631,12,,fixed,kmeans_known_k,True,stage1B,results/rc_nm_checkpoint_v4_1/stage1B/Macosko/seed42/edge_only_rec_only,0.4726943007580822,,0.10000001639127731,1.4901161193847656e-08,0.0,1.0,0.0,0.0,6.380891805034815,0.0,0.06588109266202463,3.4525322914123535,0.847923994064331,,,,,,0.7618082493453149,0.7600393754787254,0.84,0.2964084488333466,0.3742572927758449,,0.007717090159399476,0.09843700798223731,
Macosko,RC_NeighborMix,42,stage1B_gate_only_rec_only,gate_only,rec_only,0.1,0.3,oracle-k embedding separability only,0.4551196214961614,0.5773797715599435,0.3022762236628488,0.4520886347793517,0.5354928218649495,0.5773797715599434,0.8096633600619527,0.4486631939537073,12,,fixed,kmeans_known_k,True,stage1B,results/rc_nm_checkpoint_v4_1/stage1B/Macosko/seed42/gate_only_rec_only,0.45208863477935174,,0.04334620013833046,0.03644423931837082,0.2250937332619175,0.08766291733618997,0.9581922577522877,-0.7315404566673299,6.380891805034815,0.0,0.06588109266202463,3.4525322914123535,0.847923994064331,,,,,,0.8965083184770162,0.9004614834060878,0.0,0.2964084488333466,0.3742572927758449,,0.005867774829502181,0.07783134200350683,
Macosko,RC_NeighborMix,42,stage1B_analytic_RC_rec_only,analytic_RC,rec_only,0.1,0.3,oracle-k embedding separability only,0.4639350116050705,0.5744965285731964,0.3043044390437809,0.4908627486777046,0.537344529986159,0.5744965285731964,0.8017007351829775,0.4476354137387054,12,,fixed,kmeans_known_k,True,stage1B,results/rc_nm_checkpoint_v4_1/stage1B/Macosko/seed42/analytic_RC_rec_only,0.4908627486777046,,0.04334620013833046,0.03644423931837082,0.2250937332619175,0.08766291733618997,0.9581922577522877,-0.7315404566673299,6.380891805034815,0.0,0.06588109266202463,3.4525322914123535,0.847923994064331,,,,,,0.8806852683130304,0.8854824912143755,0.0,0.2964084488333466,0.3742572927758449,,0.0078959902104343,0.11660545590185967,
Macosko,RC_NeighborMix,42,stage1B_random_delta_matched_rec_only,random_delta_matched,rec_only,0.1,0.3,oracle-k embedding separability only,0.4509239421531869,0.5665188298038741,0.3034633669169981,0.4565967910394002,0.5365843088746524,0.5665188298038742,0.7885304045115717,0.4420571645858778,12,,fixed,kmeans_known_k,True,stage1B,results/rc_nm_checkpoint_v4_1/stage1B/Macosko/seed42/random_delta_matched_rec_only,0.45659679103940026,,0.04334620013833046,0.03644423931837082,0.2250937332619175,0.08766291733618997,0.9581922577522877,-0.7315404566673299,6.380891805034815,0.0,0.06588109266202463,3.4525322914123535,0.847923994064331,6.695232994108347e-05,2.855453931260854e-05,0.04899999999999993,0.0,True,0.9389771624210254,0.9416048855248873,0.0,0.2964084488333466,0.3742572927758449,,0.007054918083651496,0.08233949826355536,
Macosko,RC_NeighborMix,2024,stage1B_fixed_control_rec_only,fixed_control,rec_only,0.1,0.3,oracle-k embedding separability only,0.364421531869309,0.53161906114279,0.2364690210206954,0.3761270161992507,0.4724483579614065,0.53161906114279,0.7776192946470188,0.4038582969332372,12,,fixed,kmeans_known_k,True,stage1B,results/rc_nm_checkpoint_v4_1/stage1B/Macosko/seed2024/fixed_control_rec_only,0.3761270161992507,,0.10000001639127731,1.4901161193847656e-08,0.0,1.0,0.0,0.0,6.380891805034815,0.0,0.06588109266202463,3.4525322914123535,0.847923994064331,,,,,,0.798274208989566,0.7984222191826376,0.652,0.2364690210206954,0.3761270161992507,,0.0,0.0,
Macosko,RC_NeighborMix,2024,stage1B_edge_only_rec_only,edge_only,rec_only,0.1,0.3,oracle-k embedding separability only,0.45915907873594,0.5791320254771093,0.3086449485867434,0.4406522379396719,0.5412197605409401,0.5791320254771093,0.8118161575753597,0.4501183391711421,12,,fixed,kmeans_known_k,True,stage1B,results/rc_nm_checkpoint_v4_1/stage1B/Macosko/seed2024/edge_only_rec_only,0.44065223793967195,,0.10000001639127731,1.4901161193847656e-08,0.0,1.0,0.0,0.0,6.380891805034815,0.0,0.06588109266202463,3.4525322914123535,0.847923994064331,,,,,,0.7618082493453149,0.7600393754787254,0.84,0.2364690210206954,0.3761270161992507,,0.07217592756604801,0.06452522174042125,
Macosko,RC_NeighborMix,2024,stage1B_gate_only_rec_only,gate_only,rec_only,0.1,0.3,oracle-k embedding separability only,0.438961792537047,0.5712602227955483,0.3009087774913342,0.4228729631607129,0.5342365656459432,0.5712602227955482,0.8048517030908495,0.4427587089799246,12,,fixed,kmeans_known_k,True,stage1B,results/rc_nm_checkpoint_v4_1/stage1B/Macosko/seed2024/gate_only_rec_only,0.42287296316071293,,0.04334620013833046,0.03644423931837082,0.2250937332619175,0.08766291733618997,0.9581922577522877,-0.7315404566673299,6.380891805034815,0.0,0.06588109266202463,3.4525322914123535,0.847923994064331,,,,,,0.8965083184770162,0.9004614834060878,0.0,0.2364690210206954,0.3761270161992507,,0.06443975647063882,0.046745946961462226,
Macosko,RC_NeighborMix,2024,stage1B_analytic_RC_rec_only,analytic_RC,rec_only,0.1,0.3,oracle-k embedding separability only,0.4166666666666667,0.5508975400759839,0.2960433485616435,0.3787129637290973,0.5298314958090936,0.5508975400759838,0.7775549589264907,0.4265562978766723,12,,fixed,kmeans_known_k,True,stage1B,results/rc_nm_checkpoint_v4_1/stage1B/Macosko/seed2024/analytic_RC_rec_only,0.37871296372909735,,0.04334620013833046,0.03644423931837082,0.2250937332619175,0.08766291733618997,0.9581922577522877,-0.7315404566673299,6.380891805034815,0.0,0.06588109266202463,3.4525322914123535,0.847923994064331,,,,,,0.8806852683130304,0.8854824912143755,0.0,0.2364690210206954,0.3761270161992507,,0.0595743275409481,0.002585947529846644,
Macosko,RC_NeighborMix,2024,stage1B_random_delta_matched_rec_only,random_delta_matched,rec_only,0.1,0.3,oracle-k embedding separability only,0.3847750401713979,0.5346697699008169,0.2423410574010864,0.3788173474985852,0.4783747244017362,0.5346697699008169,0.7798400076272061,0.4067831315126543,12,,fixed,kmeans_known_k,True,stage1B,results/rc_nm_checkpoint_v4_1/stage1B/Macosko/seed2024/random_delta_matched_rec_only,0.3788173474985852,,0.04334620013833046,0.03644423931837082,0.2250937332619175,0.08766291733618997,0.9581922577522877,-0.7315404566673299,6.380891805034815,0.0,0.06588109266202463,3.4525322914123535,0.847923994064331,6.695232994108347e-05,3.019207542820368e-05,0.04899999999999993,0.0,True,0.9389672190509588,0.9414151110637944,0.0,0.2364690210206954,0.3761270161992507,,0.005872036380391021,0.002690331299334492,
Tosches,RC_NeighborMix,42,stage1B_fixed_control_rec_only,fixed_control,rec_only,0.1,0.3,oracle-k embedding separability only,0.6246249464209173,0.7272518327183095,0.5133288685824936,0.6824385226934047,0.5969946518673228,0.7272518327183096,0.7839395193563615,0.6782096131635471,15,,fixed,kmeans_known_k,True,stage1B,results/rc_nm_checkpoint_v4_1/stage1B/Tosches/seed42/fixed_control_rec_only,0.6824385226934047,0.027777777777777776,0.10000000894069672,7.450580596923828e-09,0.0,1.0,0.0,0.0,6.989391341620231,0.0,0.02325332190312902,4.082460880279541,0.7361440658569336,,,,,,0.8026873631579104,0.804705941207726,0.012,0.5133288685824936,0.6824385226934047,0.027777777777777776,0.0,0.0,0.0
Tosches,RC_NeighborMix,42,stage1B_edge_only_rec_only,edge_only,rec_only,0.1,0.3,oracle-k embedding separability only,0.6254822117445349,0.7276585786683532,0.5137513669282321,0.682826374586315,0.5973668487371872,0.7276585786683533,0.7843854435551336,0.6785833369181882,15,,fixed,kmeans_known_k,True,stage1B,results/rc_nm_checkpoint_v4_1/stage1B/Tosches/seed42/edge_only_rec_only,0.682826374586315,0.027777777777777776,0.10000000894069672,7.450580596923828e-09,0.0,1.0,0.0,0.0,6.989391341620231,0.0,0.02325332190312902,4.082460880279541,0.7361440658569336,,,,,,0.7731678614271957,0.7723580952008036,0.884,0.5133288685824936,0.6824385226934047,0.027777777777777776,0.00042249834573848677,0.0003878518929103514,0.0
Tosches,RC_NeighborMix,42,stage1B_gate_only_rec_only,gate_only,rec_only,0.1,0.3,oracle-k embedding separability only,0.6312687526789541,0.7315105902421709,0.5189803715599746,0.6788368458422525,0.6020437326523636,0.7315105902421709,0.7890266550988493,0.681810073587883,15,,fixed,kmeans_known_k,True,stage1B,results/rc_nm_checkpoint_v4_1/stage1B/Tosches/seed42/gate_only_rec_only,0.6788368458422525,0.027777777777777776,0.04267586022615433,0.035814665257930756,0.21817402486069437,0.07838619802828975,0.9327637616930576,-0.7596149919224673,6.989391341620231,0.0,0.02325332190312902,4.082460880279541,0.7361440658569336,,,,,,0.8986292909137126,0.9185501131991485,0.0,0.5133288685824936,0.6824385226934047,0.027777777777777776,0.00565150297748096,-0.0036016768511522024,0.0
Tosches,RC_NeighborMix,42,stage1B_analytic_RC_rec_only,analytic_RC,rec_only,0.1,0.3,oracle-k embedding separability only,0.6094620660094299,0.7209906519278324,0.5110389283688461,0.6013406241764944,0.5946170287195761,0.7209906519278325,0.7771468832630698,0.6724031486161232,15,,fixed,kmeans_known_k,True,stage1B,results/rc_nm_checkpoint_v4_1/stage1B/Tosches/seed42/analytic_RC_rec_only,0.6013406241764944,0.027777777777777776,0.04267586022615433,0.035814665257930756,0.21817402486069437,0.07838619802828975,0.9327637616930576,-0.7596149919224673,6.989391341620231,0.0,0.02325332190312902,4.082460880279541,0.7361440658569336,,,,,,0.8878499778906452,0.9090630609811144,0.0,0.5133288685824936,0.6824385226934047,0.027777777777777776,-0.002289940213647479,-0.0810978985169103,0.0
